Date,Open,High,Low,Close,Adj Close,Volume
2015-06-26,15.725000,15.735000,15.725000,15.735000,15.735000,1
2015-06-28,null,null,null,null,null,null
2015-06-29,15.935000,15.995000,15.635000,15.664000,15.664000,56759
2015-06-30,15.725000,15.770000,15.420000,15.551000,15.551000,19508
2015-07-01,15.635000,15.640000,15.490000,15.552000,15.552000,1989
2015-07-02,15.470000,15.695000,15.445000,15.537000,15.537000,220
2015-07-05,null,null,null,null,null,null
2015-07-06,15.655000,15.726000,15.485000,15.726000,15.726000,257
2015-07-07,15.595000,15.595000,14.805000,14.950000,14.950000,87
2015-07-08,15.045000,15.147000,14.740000,15.147000,15.147000,1041
2015-07-09,15.140000,15.440000,15.140000,15.345000,15.345000,109
2015-07-10,15.330000,15.585000,15.330000,15.468000,15.468000,366
2015-07-12,null,null,null,null,null,null
2015-07-13,15.495000,15.495000,15.300000,15.436000,15.436000,51
2015-07-14,15.360000,15.380000,15.295000,15.295000,15.295000,152
2015-07-15,15.045000,15.045000,14.990000,15.028000,15.028000,27
2015-07-16,14.990000,14.990000,14.964000,14.964000,14.964000,86
2015-07-17,14.935000,14.935000,14.820000,14.820000,14.820000,12
2015-07-19,null,null,null,null,null,null
2015-07-20,14.715000,14.905000,14.485000,14.745000,14.745000,62
2015-07-21,14.615000,14.835000,14.615000,14.769000,14.769000,46
2015-07-22,14.714000,14.714000,14.714000,14.714000,14.714000,102
2015-07-23,14.683000,14.683000,14.635000,14.683000,14.683000,10
2015-07-24,14.595000,14.630000,14.330000,14.477000,14.477000,172
2015-07-26,null,null,null,null,null,null
2015-07-27,14.610000,14.650000,14.560000,14.594000,14.594000,29
2015-07-28,14.640000,14.640000,14.631000,14.631000,14.631000,18
2015-07-29,14.640000,14.734000,14.640000,14.734000,14.734000,168
2015-07-30,14.750000,14.785000,14.630000,14.691000,14.691000,206
2015-07-31,14.855000,14.865000,14.746000,14.746000,14.746000,39
2015-08-02,null,null,null,null,null,null
2015-08-03,14.730000,14.730000,14.415000,14.516000,14.516000,101
2015-08-04,14.605000,14.605000,14.550000,14.550000,14.550000,131
2015-08-05,14.546000,14.546000,14.546000,14.546000,14.546000,119
2015-08-06,14.670000,14.670000,14.670000,14.670000,14.670000,1
2015-08-07,14.816000,14.816000,14.816000,14.816000,14.816000,0
